iter 348: loss 1.78444552, time 44.69ms
iter 349: loss 1.75400841, time 44.67ms
iter 350: loss 1.74766922, time 44.86ms
iter 351: loss 1.76099193, time 44.65ms
iter 352: loss 1.78919220, time 44.85ms
iter 353: loss 1.75574207, time 44.15ms
iter 354: loss 1.75414443, time 45.21ms
iter 355: loss 1.77226710, time 44.41ms
iter 356: loss 1.76312566, time 45.70ms
iter 357: loss 1.74266791, time 44.36ms
iter 358: loss 1.78636074, time 44.85ms
iter 359: loss 1.76104391, time 44.94ms
iter 360: loss 1.77338243, time 46.03ms
iter 361: loss 1.77146053, time 44.66ms
iter 362: loss 1.75319910, time 45.17ms
iter 363: loss 1.72227073, time 45.00ms
iter 364: loss 1.75864279, time 44.61ms
iter 365: loss 1.73883784, time 44.68ms
iter 366: loss 1.73603237, time 44.49ms
iter 367: loss 1.75311816, time 45.22ms
iter 368: loss 1.72063851, time 44.71ms
iter 369: loss 1.74790585, time 45.91ms
iter 370: loss 1.73740494, time 44.90ms
iter 371: loss 1.73091233, time 45.96ms
iter 372: loss 1.73933613, time 46.92ms
iter 373: loss 1.71177828, time 46.82ms
iter 374: loss 1.74854290, time 44.85ms
iter 375: loss 1.75194371, time 44.85ms
iter 376: loss 1.74462569, time 45.24ms
iter 377: loss 1.71595585, time 45.63ms
iter 378: loss 1.69934607, time 44.80ms
iter 379: loss 1.73222971, time 45.73ms
iter 380: loss 1.71939349, time 44.45ms
iter 381: loss 1.73368132, time 44.87ms
iter 382: loss 1.71307945, time 44.56ms
iter 383: loss 1.72963452, time 44.89ms
iter 384: loss 1.71442330, time 44.18ms
iter 385: loss 1.72487485, time 45.02ms
iter 386: loss 1.74748480, time 44.93ms
iter 387: loss 1.71893156, time 45.15ms
iter 388: loss 1.73624182, time 45.45ms
iter 389: loss 1.72127450, time 44.72ms
iter 390: loss 1.74766076, time 45.16ms
iter 391: loss 1.73407555, time 44.40ms
iter 392: loss 1.70786870, time 44.81ms
iter 393: loss 1.69843912, time 44.61ms
iter 394: loss 1.70678151, time 45.72ms
iter 395: loss 1.74009573, time 44.05ms
iter 396: loss 1.72928154, time 45.70ms
iter 397: loss 1.72387767, time 44.31ms
iter 398: loss 1.71562386, time 45.45ms
iter 399: loss 1.72901821, time 44.13ms
iter 400: loss 1.72416508, time 45.60ms
iter 401: loss 1.68943012, time 44.26ms
iter 402: loss 1.69310176, time 44.61ms
iter 403: loss 1.71648550, time 44.53ms
iter 404: loss 1.71115685, time 44.68ms
iter 405: loss 1.68787265, time 44.35ms
iter 406: loss 1.72756362, time 44.43ms
iter 407: loss 1.68052340, time 44.42ms
iter 408: loss 1.72104859, time 44.50ms
iter 409: loss 1.66732204, time 45.63ms
iter 410: loss 1.70637465, time 44.62ms
iter 411: loss 1.72246695, time 45.34ms
iter 412: loss 1.71211958, time 44.58ms
iter 413: loss 1.68962109, time 45.12ms
iter 414: loss 1.67833662, time 44.77ms
iter 415: loss 1.71532965, time 44.38ms
iter 416: loss 1.69062412, time 44.62ms
iter 417: loss 1.68889534, time 45.46ms
iter 418: loss 1.68790913, time 44.36ms
iter 419: loss 1.68238103, time 45.84ms
iter 420: loss 1.68665898, time 44.31ms
iter 421: loss 1.68256986, time 44.52ms
iter 422: loss 1.70141780, time 44.26ms
iter 423: loss 1.69335854, time 46.20ms
iter 424: loss 1.64039075, time 44.23ms
iter 425: loss 1.65110719, time 45.69ms
iter 426: loss 1.67932665, time 44.21ms
iter 427: loss 1.67634165, time 44.68ms
iter 428: loss 1.65036035, time 44.44ms
iter 429: loss 1.67917061, time 45.09ms
iter 430: loss 1.69869792, time 44.63ms
iter 431: loss 1.64967537, time 44.64ms
iter 432: loss 1.67027342, time 45.06ms
iter 433: loss 1.65174603, time 44.56ms
iter 434: loss 1.70417416, time 45.47ms
iter 435: loss 1.67574143, time 44.20ms
iter 436: loss 1.68455446, time 55.08ms
iter 437: loss 1.70090902, time 50.55ms
iter 438: loss 1.68169141, time 87.84ms
iter 439: loss 1.68504977, time 53.06ms
iter 440: loss 1.66363668, time 50.97ms
iter 441: loss 1.70467007, time 49.64ms
iter 442: loss 1.68681765, time 45.69ms
iter 443: loss 1.66533029, time 44.72ms
iter 444: loss 1.64117944, time 45.92ms
iter 445: loss 1.68973172, time 44.53ms
iter 446: loss 1.65286529, time 46.45ms
iter 447: loss 1.66312444, time 44.38ms
iter 448: loss 1.67393565, time 45.78ms
iter 449: loss 1.67029488, time 44.41ms
iter 450: loss 1.65309083, time 45.54ms
iter 451: loss 1.68096173, time 44.19ms
iter 452: loss 1.69629204, time 45.28ms
iter 453: loss 1.65874434, time 44.26ms
iter 454: loss 1.67237282, time 44.48ms
iter 455: loss 1.62841845, time 43.78ms
iter 456: loss 1.67793286, time 44.22ms
iter 457: loss 1.63652694, time 44.43ms
iter 458: loss 1.67709124, time 45.07ms
iter 459: loss 1.65323925, time 45.57ms
iter 460: loss 1.67792046, time 44.18ms
iter 461: loss 1.66721082, time 45.21ms
iter 462: loss 1.64368320, time 43.88ms
iter 463: loss 1.62892556, time 45.07ms
iter 464: loss 1.65005493, time 44.30ms
iter 465: loss 1.65135658, time 44.99ms
iter 466: loss 1.65729439, time 44.63ms
iter 467: loss 1.66055024, time 45.31ms
iter 468: loss 1.64906156, time 44.58ms
iter 469: loss 1.64898610, time 45.45ms
iter 470: loss 1.65704250, time 44.29ms
iter 471: loss 1.63845944, time 44.73ms
iter 472: loss 1.66705251, time 44.08ms
iter 473: loss 1.65195954, time 45.26ms
iter 474: loss 1.63069153, time 44.00ms
iter 475: loss 1.62907529, time 45.38ms
iter 476: loss 1.64596486, time 44.42ms
iter 477: loss 1.65096354, time 44.80ms
iter 478: loss 1.65686679, time 43.72ms
iter 479: loss 1.62042558, time 45.07ms
iter 480: loss 1.64589357, time 43.76ms
iter 481: loss 1.63465929, time 44.38ms
iter 482: loss 1.61563313, time 44.26ms
iter 483: loss 1.63805807, time 44.98ms
iter 484: loss 1.62920189, time 45.08ms
iter 485: loss 1.61350024, time 43.72ms
iter 486: loss 1.63147867, time 45.51ms
iter 487: loss 1.65211868, time 43.68ms
iter 488: loss 1.63493264, time 45.35ms
iter 489: loss 1.64005613, time 43.82ms
iter 490: loss 1.63574660, time 44.87ms
iter 491: loss 1.63801897, time 44.84ms
iter 492: loss 1.63026834, time 45.26ms
iter 493: loss 1.65448010, time 44.30ms
iter 494: loss 1.61942863, time 45.06ms
iter 495: loss 1.64964914, time 44.32ms
iter 496: loss 1.62383533, time 44.32ms
iter 497: loss 1.63352096, time 45.40ms
iter 498: loss 1.61540878, time 46.02ms
iter 499: loss 1.62918925, time 45.11ms
step 500: train loss 1.6287, val loss 1.8123
saving checkpoint to out-shakespeare-char
iter 500: loss 1.62905693, time 18702.47ms
iter 501: loss 1.64053214, time 49.76ms
iter 502: loss 1.64000559, time 48.65ms
iter 503: loss 1.63507676, time 47.62ms
iter 504: loss 1.61290777, time 49.33ms
iter 505: loss 1.59658241, time 50.02ms
iter 506: loss 1.61403525, time 50.04ms
iter 507: loss 1.62435377, time 48.88ms
iter 508: loss 1.61405814, time 49.00ms
iter 509: loss 1.57150292, time 47.87ms
iter 510: loss 1.60144603, time 46.74ms
iter 511: loss 1.62634361, time 47.41ms
iter 512: loss 1.64853060, time 46.03ms
iter 513: loss 1.60577726, time 46.72ms
iter 514: loss 1.63551199, time 45.57ms
iter 515: loss 1.63443279, time 46.60ms
iter 516: loss 1.61768913, time 46.00ms
iter 517: loss 1.61321414, time 46.88ms
iter 518: loss 1.61564469, time 45.64ms
iter 519: loss 1.61141586, time 45.65ms
iter 520: loss 1.62469149, time 81.32ms
iter 521: loss 1.64068556, time 45.95ms
iter 522: loss 1.61676085, time 46.00ms
iter 523: loss 1.61413705, time 45.06ms
iter 524: loss 1.60628664, time 45.95ms
iter 525: loss 1.63100529, time 46.59ms
iter 526: loss 1.60139656, time 45.58ms
iter 527: loss 1.57788134, time 46.69ms
iter 528: loss 1.57525671, time 45.42ms
iter 529: loss 1.59038854, time 47.15ms
iter 530: loss 1.60284579, time 45.40ms
iter 531: loss 1.57417893, time 45.62ms
iter 532: loss 1.61899149, time 45.04ms
iter 533: loss 1.61424410, time 46.76ms
iter 534: loss 1.62622309, time 44.52ms
iter 535: loss 1.59422565, time 46.15ms
iter 536: loss 1.62757242, time 44.52ms
iter 537: loss 1.62815297, time 45.28ms
iter 538: loss 1.61277378, time 44.99ms
iter 539: loss 1.60429490, time 46.95ms
iter 540: loss 1.62540889, time 46.55ms
iter 541: loss 1.63029504, time 45.78ms
iter 542: loss 1.62474024, time 46.38ms
iter 543: loss 1.62004125, time 45.47ms
iter 544: loss 1.61737370, time 46.70ms
iter 545: loss 1.58232725, time 44.84ms
iter 546: loss 1.63225818, time 45.62ms
iter 547: loss 1.56487989, time 44.89ms
iter 548: loss 1.59362698, time 46.74ms
iter 549: loss 1.60790884, time 44.93ms
iter 550: loss 1.59089315, time 45.91ms
iter 551: loss 1.59777951, time 44.52ms
iter 552: loss 1.56485271, time 45.69ms
iter 553: loss 1.61149275, time 44.75ms
iter 554: loss 1.59356153, time 45.86ms
iter 555: loss 1.60701180, time 46.68ms
iter 556: loss 1.60169029, time 45.05ms
iter 557: loss 1.60067952, time 46.20ms
iter 558: loss 1.60990322, time 45.12ms
